Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	IDHmut_4 Spectral Count	IDHmut_5 Spectral Count	IDHmut_6 Spectral Count	IDHwt_1 Spectral Count	IDHwt_2 Spectral Count	IDHwt_3 Spectral Count	IDHmut_4 Unique Spectral Count	IDHmut_5 Unique Spectral Count	IDHmut_6 Unique Spectral Count	IDHwt_1 Unique Spectral Count	IDHwt_2 Unique Spectral Count	IDHwt_3 Unique Spectral Count	IDHmut_4 Total Spectral Count	IDHmut_5 Total Spectral Count	IDHmut_6 Total Spectral Count	IDHwt_1 Total Spectral Count	IDHwt_2 Total Spectral Count	IDHwt_3 Total Spectral Count	IDHmut_4 Intensity	IDHmut_5 Intensity	IDHmut_6 Intensity	IDHwt_1 Intensity	IDHwt_2 Intensity	IDHwt_3 Intensity	IDHmut_4 MaxLFQ Intensity	IDHmut_5 MaxLFQ Intensity	IDHmut_6 MaxLFQ Intensity	IDHwt_1 MaxLFQ Intensity	IDHwt_2 MaxLFQ Intensity	IDHwt_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A0B4J1U7|HV601_HUMAN	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	121	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 6-1	0.9856	0.999	2	5	5	5	0	0	1	0	3	1	0	0	1	0	3	1	0	0	1	0	3	1	0.0	0.0	1.7748432E8	0.0	7.7373632E8	1.36788813E9	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-15	0.9996	0.999	4	10	6	11	1	0	1	2	3	3	1	0	0	1	2	2	1	0	1	2	3	4	1.1220396E7	0.0	2.02069552E8	2.11206752E8	9.2423264E8	1.73344371E9	0.0	0.0	0.0	1.97923696E8	9.5275219E8	1.42275277E9	
sp|A0A0B4J1V2|HV226_HUMAN	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	119	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 2-26	0.9776	0.999	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.4626844E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1V7|HV781_HUMAN	A0A0B4J1V7	HV781_HUMAN	IGHV7-81	117	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 7-81	0.935	0.997	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1X5|HV374_HUMAN	A0A0B4J1X5	HV374_HUMAN	IGHV3-74	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-74	0.9993	0.999	6	15	8	22	3	1	2	2	2	5	1	1	1	1	1	3	4	2	3	3	2	8	4.39213504E8	1.40325456E8	2.8214464E8	3.17167104E8	9.0920768E8	2.14127386E9	2.26250112E8	0.0	1.54035152E8	1.7942248E8	5.12800576E8	1.10753638E9	
sp|A0A0B4J1Y9|HV372_HUMAN	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	119	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-72	0.975	0.9989	3	2	2	7	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	3	2.076791E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	17	125	0	125	27	26	21	18	16	17	0	0	0	0	0	0	27	26	21	18	16	17	7.18048E9	6.8704773E9	5.0387881E9	4.02148864E9	3.05861171E9	5.2588841E9	1.09693811E9	8.4770579E8	8.4575123E8	6.464105E8	5.31865984E8	7.7512173E8	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens	1:Experimental evidence at protein level	Protein	0.9986	0.999	1	5	5	5	1	1	0	2	0	1	1	1	0	2	0	1	1	1	0	2	0	1	3.7176548E7	0.0	0.0	3.7120424E7	0.0	4550180.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J2H0|HV69D_HUMAN	A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-69D	0.9776	0.999	3	1	1	5	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	2	0.0	0.0	0.0	0.0	0.0	1.5293369E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-20	0.9775	0.999	3	5	5	20	1	0	1	1	1	1	1	0	1	1	1	1	2	2	4	3	3	6	1.32352544E8	0.0	1.28198368E8	0.0	1.70368656E8	4.85005792E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH31|HV118_HUMAN	A0A0C4DH31	HV118_HUMAN	IGHV1-18	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 1-18	0.9999	0.999	4	10	3	10	2	4	0	0	2	2	0	1	0	0	1	1	2	4	0	0	2	2	2.61556768E8	1.8339792E8	0.0	0.0	3.3546418E7	8.64078E7	1.30924E8	9.6947336E7	0.0	0.0	1.02226208E8	0.0	
sp|A0A0C4DH33|HV124_HUMAN	A0A0C4DH33	HV124_HUMAN	IGHV1-24	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 1-24	0.9776	0.999	3	1	1	5	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	1	1	0.0	0.0	0.0	0.0	0.0	2.2109432E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 4-28	1.0	0.999	2	5	5	5	0	1	1	0	1	2	0	1	1	0	1	2	0	1	1	0	1	2	0.0	0.0	3904275.0	0.0	0.0	2.6632256E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH35|HV335_HUMAN	A0A0C4DH35	HV335_HUMAN	IGHV3-35	117	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-35	0.9776	0.999	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	8.7899576E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH36|HV338_HUMAN	A0A0C4DH36	HV338_HUMAN	IGHV3-38	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-38	0.9726	0.9988	2	1	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	6.8646264E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 5-51	0.9998	0.999	3	7	6	7	1	0	0	1	3	2	0	0	0	1	3	2	1	0	0	1	3	2	3.7147348E7	0.0	0.0	1.2058308E8	2.25884512E8	4.12470944E8	0.0	0.0	0.0	0.0	1.84286208E8	4.21906848E8	
sp|A0A0C4DH41|HV461_HUMAN	A0A0C4DH41	HV461_HUMAN	IGHV4-61	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-61	0.9774	0.999	2	11	0	11	3	2	2	1	1	2	0	0	0	0	0	0	3	2	2	1	1	2	3.9455168E8	5.949024E8	1.51108096E8	4.13066016E8	4.4787744E8	1.08880205E9	5.8705798E8	5.2834096E8	1.10238256E8	0.0	0.0	6.2828403E8	sp|P01824|HV439_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP08|HVD82_HUMAN
sp|A0A0C4DH67|KV108_HUMAN	A0A0C4DH67	KV108_HUMAN	IGKV1-8	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1-8	0.9995	0.999	2	5	0	5	1	0	1	0	2	1	0	0	0	0	0	0	1	0	1	0	2	1	1.01586024E8	0.0	4.006826E7	0.0	1.16016952E8	1.92386032E8	0.0	0.0	0.0	0.0	0.0	0.0	sp|A0A0C4DH69|KV109_HUMAN
sp|A0A0C4DH68|KV224_HUMAN	A0A0C4DH68	KV224_HUMAN	IGKV2-24	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-24	0.9871	0.999	3	6	1	9	1	1	1	0	2	1	0	0	0	0	1	0	2	2	1	0	2	2	9.3181128E7	5.9444736E7	5.6624468E7	0.0	3.14079872E8	4.95076704E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0U1RRL7|MMPOS_HUMAN	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	71	Homo sapiens	1:Experimental evidence at protein level	Protein MMP24OS	1.0	0.999	2	7	7	7	0	2	0	4	0	1	0	2	0	4	0	1	0	2	0	4	0	1	0.0	2.1367218E7	0.0	1.621998E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A1B0GTQ4|MYMX_HUMAN	A0A1B0GTQ4	MYMX_HUMAN	MYMX	84	Homo sapiens	1:Experimental evidence at protein level	Protein myomixer	0.9777	0.9945	1	4	4	4	0	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0.0	1.42714064E8	7.7764344E7	1.95118E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 47	1.0	0.999	5	7	7	7	0	0	0	1	2	4	0	0	0	1	2	4	0	0	0	1	2	4	0.0	0.0	0.0	0.0	4.1086236E7	8.9679976E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVF1|IFT56_HUMAN	A0AVF1	IFT56_HUMAN	TTC26	554	Homo sapiens	1:Experimental evidence at protein level	Intraflagellar transport protein 56	0.9933	0.999	2	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0.0	0.0	0.0	1.3079719E7	4.3546132E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	38	129	129	129	19	21	23	19	27	20	19	21	23	19	27	20	19	21	23	19	27	20	1.02447546E9	1.13120448E9	1.3249911E9	1.14010304E9	2.71337139E9	1.39222566E9	1.96534608E8	2.02194704E8	1.79576E8	2.22855024E8	3.62797632E8	2.20173744E8	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	28	91	91	91	11	16	15	19	12	18	11	16	15	19	12	18	11	16	15	19	12	18	6.7369651E8	1.06908902E9	9.974336E8	2.12241766E9	7.1350982E8	2.31511936E9	1.78519104E8	2.18981712E8	1.74335456E8	2.87206944E8	1.62458416E8	3.34816192E8	
sp|A0M8Q6|IGLC7_HUMAN	A0M8Q6	IGLC7_HUMAN	IGLC7	106	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda constant 7	0.99	0.9975	6	2	2	71	0	0	0	0	1	1	0	0	0	0	1	1	10	11	6	8	19	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	21	66	66	66	9	16	15	14	10	2	9	16	15	14	10	2	9	16	15	14	10	2	3.75250336E8	1.47758861E9	1.20791117E9	6.1527328E8	5.16500768E8	1.38353216E8	1.34816496E8	1.9470656E8	1.82844992E8	1.11240144E8	1.02919E8	1.47057888E8	
sp|A1A5B4|ANO9_HUMAN	A1A5B4	ANO9_HUMAN	ANO9	782	Homo sapiens	1:Experimental evidence at protein level	Anoctamin-9	0.9186	0.9961	2	5	5	5	1	2	0	0	1	1	1	2	0	0	1	1	1	2	0	0	1	1	3.8925212E7	2.6667696E7	0.0	0.0	0.0	4.269184E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1A5C7|S22AN_HUMAN	A1A5C7	S22AN_HUMAN	SLC22A23	686	Homo sapiens	1:Experimental evidence at protein level	Solute carrier family 22 member 23	1.0	0.999	3	7	7	7	3	1	2	0	1	0	3	1	2	0	1	0	3	1	2	0	1	0	7.8767504E7	4.490636E7	4.3412356E7	0.0	2.4650076E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1IGU5|ARH37_HUMAN	A1IGU5	ARH37_HUMAN	ARHGEF37	675	Homo sapiens	2:Experimental evidence at transcript level	Rho guanine nucleotide exchange factor 37	0.9998	0.999	3	5	5	5	2	1	1	1	0	0	2	1	1	1	0	0	2	1	1	1	0	0	3908826.5	0.0	8943935.0	1.559458E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	520	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein MEX3A	0.9822	0.9989	3	5	4	5	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0.0	2.0016414E7	0.0	7.5738936E7	8.9708112E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	22	129	129	129	16	20	20	20	23	30	16	20	20	20	23	30	16	20	20	20	23	30	9.1233254E8	7.7130528E8	8.1043155E8	1.11903539E9	9.839488E8	1.78607974E9	1.39028016E8	9.126484E7	1.12220272E8	1.45796832E8	1.50636544E8	2.19307632E8	
sp|A1L170|CA226_HUMAN	A1L170	CA226_HUMAN	C1orf226	272	Homo sapiens	1:Experimental evidence at protein level	Uncharacterized protein C1orf226	1.0	0.999	6	13	13	13	1	5	0	5	2	0	1	5	0	5	2	0	1	5	0	5	2	0	7412290.0	1.81942192E8	0.0	9.8635192E7	2.6333456E7	0.0	0.0	6.9314896E7	0.0	4.309336E7	0.0	0.0	
sp|A1L188|NDUF8_HUMAN	A1L188	NDUF8_HUMAN	NDUFAF8	74	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	0.9776	0.999	1	3	3	3	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	4.0156708E7	3.3114682E7	2.4363856E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family	0.9988	0.999	2	3	3	3	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0.0	2.4368778E7	3535058.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens	1:Experimental evidence at protein level	SH3 and	1.0	0.999	21	57	48	57	3	3	7	8	26	10	1	2	6	7	24	8	3	3	7	8	26	10	1.35123648E8	1.2750392E8	2.13956608E8	5.18659104E8	2.05861658E9	1.07468851E9	1.00384648E8	1.07573864E8	9.416328E7	2.47622432E8	3.14271584E8	3.22260448E8	
sp|A1Z1Q3|MACD2_HUMAN	A1Z1Q3	MACD2_HUMAN	MACROD2	425	Homo sapiens	1:Experimental evidence at protein level	ADP-ribose glycohydrolase MACROD2	0.9995	0.999	2	3	3	3	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0.0	1.8483692E7	4750331.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2NJV5|KV229_HUMAN	A2NJV5	KV229_HUMAN	IGKV2-29	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-29	0.9776	0.999	4	1	1	14	0	1	0	0	0	0	0	1	0	0	0	0	2	4	1	2	2	3	0.0	1.12009336E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens	1:Experimental evidence at protein level	NBAS subunit of	1.0	0.999	36	76	76	76	8	11	8	20	14	15	8	11	8	20	14	15	8	11	8	20	14	15	2.33791072E8	2.66392432E8	1.23527784E8	6.5251757E8	5.7856544E8	5.843223E8	5.56028E7	5.947624E7	5.2727324E7	8.7120992E7	8.6070824E7	9.8867088E7	
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	Homo sapiens	1:Experimental evidence at protein level	Threonine--tRNA ligase 2, cytoplasmic	1.0	0.999	12	17	17	30	2	6	3	1	4	1	2	6	3	1	4	1	3	9	4	3	7	4	7.0672736E7	1.882688E8	1.54723296E8	2.071349E7	1.9530368E8	0.0	1.27366968E8	7.4302896E7	0.0	0.0	7.7862952E7	0.0	
